Index,1,2,3,4,5,6,7,8,9,10,11,12
A,2.03,2.37,2.74,3.27,3.82,4.15,4.42,4.72,4.88,4.98,5.04,5.12
B,2.07,2.46,2.98,3.37,3.75,4.17,4.48,4.72,4.9,5.05,5.15,5.22
C,2.13,2.44,2.92,3.41,3.85,4.29,4.61,4.84,5,5.12,5.22,5.27
D,2,2.45,3,3.47,3.95,4.43,4.8,5.09,5.22,5.26,5.3,5.3
E,2.04,2.45,2.97,3.53,4.08,4.65,5.09,5.3,5.37,5.38,5.38,5.37
F,1.98,2.48,3.03,3.58,4.2,4.92,5.51,5.63,5.57,5.49,5.47,5.46
G,2.03,2.55,3.08,3.78,4.42,4.37,6.47,6.27,5.84,5.65,5.55,5.52
H,2.06,2.55,3.14,3.82,4.55,5.48,7.69,6.55,6,5.8,5.69,5.65
I,2.09,2.61,3.22,3.82,4.51,5.31,5.97,6.05,5.82,5.66,5.57,5.54
J,2.12,2.57,3.16,3.72,4.38,4.96,5.43,5.65,5.65,5.6,5.55,5.52
K,2.07,2.6,3.11,3.69,4.2,4.73,5.16,5.39,5.5,5.53,5.53,5.51
L,2.11,2.6,3.18,3.69,4.2,4.65,5.04,5.27,5.42,5.55,5.53,5.5
