Index,A,B,C,D,E,F,G,H,I,J,K,L
1,2.1,2.05,2.1,2.18,2.17,2.13,2.13,2.11,2.1,2.08,2.09,2.06
2,2.89,2.84,2.8,2.78,2.77,2.77,2.74,2.75,2.77,2.76,2.66,2.6
3,3.5,3.45,3.41,3.4,3.33,3.35,3.35,3.34,3.34,3.4,3.38,3.41
4,4.27,4.27,4.24,4.15,4.35,4.37,4.33,4.23,4.12,4.15,4.1,4.13
5,5.01,4.96,4.93,5,5.04,5.15,5.08,5.08,4.93,4.9,4.83,4.89
6,5.6,5.63,5.67,5.9,5.95,6,6.09,5.8,5.6,5.52,5.43,5.37
7,6.18,6.27,6.42,6.63,6.96,7.31,6.81,6.56,6.33,6.13,6.03,5.95
8,5.86,5.95,6.15,6.6,7.3,8.31,7.06,6.4,6.08,5.84,5.7,5.65
9,6.18,6.2,6.39,6.65,7.04,7.28,7,6.6,6.29,6.08,5.94,5.9
10,6.22,6.3,6.41,6.54,6.78,6.81,6.72,6.54,6.36,6.2,6.14,6.08
11,6.3,6.33,6.41,6.5,6.61,6.71,6.66,6.56,6.43,6.33,6.25,6.22
12,6.39,6.41,6.45,6.51,6.55,6.57,6.55,6.5,6.42,6.35,6.3,6.27
